arm,metric,step,value
arm_nvfp4_hp,trainer/grad_norm/mean,5,0.1162109375
arm_nvfp4_hp,trainer/grad_norm/mean,6,0.109375
arm_nvfp4_hp,trainer/grad_norm/mean,7,0.15234375
arm_nvfp4_hp,trainer/grad_norm/mean,8,0.169921875
arm_nvfp4_hp,trainer/grad_norm/mean,9,0.10400390625
arm_nvfp4_hp,trainer/grad_norm/mean,10,0.125
arm_nvfp4_hp,rollout_reward/_mean,1,0.078125
arm_nvfp4_hp,rollout_reward/_mean,2,0.015625
arm_nvfp4_hp,rollout_reward/_mean,3,0.015625
arm_nvfp4_hp,rollout_reward/_mean,4,0.09375
arm_nvfp4_hp,rollout_reward/_mean,5,0.09375
arm_nvfp4_hp,rollout_reward/_mean,6,0.09375
arm_nvfp4_hp,rollout_reward/_mean,7,0.046875
arm_nvfp4_hp,rollout_reward/_mean,8,0.0625
arm_nvfp4_hp,rollout_reward/_mean,9,0.078125
arm_nvfp4_hp,rollout_reward/_mean,10,0.15625
arm_nvfp4_hp,trainer/entropy/mean,1,0.21155157685279846
arm_nvfp4_hp,trainer/entropy/mean,2,0.3354174494743347
arm_nvfp4_hp,trainer/entropy/mean,3,0.34807685017585754
arm_nvfp4_hp,trainer/entropy/mean,4,0.2503041625022888
arm_nvfp4_hp,trainer/entropy/mean,5,0.3005037307739258
arm_nvfp4_hp,trainer/entropy/mean,6,0.2078161984682083
arm_nvfp4_hp,trainer/entropy/mean,7,0.24322986602783203
arm_nvfp4_hp,trainer/entropy/mean,8,0.29866695404052734
arm_nvfp4_hp,trainer/entropy/mean,9,0.20769354701042175
arm_nvfp4_hp,trainer/entropy/mean,10,0.27636420726776123
arm_nvfp4_hp,bit_wise/logprob_diff/mean,1,-0.0025142680387943983
arm_nvfp4_hp,bit_wise/logprob_diff/mean,2,-0.003940984606742859
arm_nvfp4_hp,bit_wise/logprob_diff/mean,3,-0.0034126504324376583
arm_nvfp4_hp,bit_wise/logprob_diff/mean,4,-0.0021084987092763186
arm_nvfp4_hp,bit_wise/logprob_diff/mean,5,-0.002632719464600086
arm_nvfp4_hp,bit_wise/logprob_diff/mean,6,-0.00199908297508955
arm_nvfp4_hp,bit_wise/logprob_diff/mean,7,-0.0026242868043482304
arm_nvfp4_hp,bit_wise/logprob_diff/mean,8,-0.0034518300089985132
arm_nvfp4_hp,bit_wise/logprob_diff/mean,9,-0.0017114230431616306
arm_nvfp4_hp,bit_wise/logprob_diff/mean,10,-0.0029349029064178467
arm_nvfp4_hp,loss/ratio_clipped_frac,1,0.018149416893720627
arm_nvfp4_hp,loss/ratio_clipped_frac,2,0.02153986692428589
arm_nvfp4_hp,loss/ratio_clipped_frac,3,0.023066967725753784
arm_nvfp4_hp,loss/ratio_clipped_frac,4,0.017575593665242195
arm_nvfp4_hp,loss/ratio_clipped_frac,5,0.020208396017551422
arm_nvfp4_hp,loss/ratio_clipped_frac,6,0.01761062815785408
arm_nvfp4_hp,loss/ratio_clipped_frac,7,0.02136017009615898
arm_nvfp4_hp,loss/ratio_clipped_frac,8,0.02223166823387146
arm_nvfp4_hp,loss/ratio_clipped_frac,9,0.014376139268279076
arm_nvfp4_hp,loss/ratio_clipped_frac,10,0.019453836604952812
arm_nvfp4_deq,loss/mean,1,-0.0007736841216683388
arm_nvfp4_deq,loss/mean,2,0.007919506169855595
arm_nvfp4_deq,loss/mean,3,0.0
arm_nvfp4_deq,loss/mean,4,-0.01859232783317566
arm_nvfp4_deq,loss/mean,5,0.008371490985155106
arm_nvfp4_deq,loss/mean,6,-0.0002568480558693409
arm_nvfp4_deq,loss/mean,7,0.01805906929075718
arm_nvfp4_deq,loss/mean,8,-0.0030616000294685364
arm_nvfp4_deq,loss/mean,9,-0.0072922483086586
arm_nvfp4_deq,loss/mean,10,0.02214072458446026
arm_nvfp4_deq,trainer/grad_norm/mean,1,0.07373046875
arm_nvfp4_deq,trainer/grad_norm/mean,2,0.06005859375
arm_nvfp4_deq,trainer/grad_norm/mean,3,0.0
arm_nvfp4_deq,trainer/grad_norm/mean,4,0.1298828125
arm_nvfp4_deq,trainer/grad_norm/mean,5,0.1416015625
arm_nvfp4_deq,trainer/grad_norm/mean,6,0.138671875
arm_nvfp4_deq,trainer/grad_norm/mean,7,0.10791015625
arm_nvfp4_deq,trainer/grad_norm/mean,8,0.1513671875
arm_nvfp4_deq,trainer/grad_norm/mean,9,0.076171875
arm_nvfp4_deq,trainer/grad_norm/mean,10,0.115234375
arm_nvfp4_deq,rollout_reward/_mean,1,0.03125
arm_nvfp4_deq,rollout_reward/_mean,2,0.03125
arm_nvfp4_deq,rollout_reward/_mean,3,0.0
arm_nvfp4_deq,rollout_reward/_mean,4,0.078125
arm_nvfp4_deq,rollout_reward/_mean,5,0.078125
arm_nvfp4_deq,rollout_reward/_mean,6,0.15625
arm_nvfp4_deq,rollout_reward/_mean,7,0.015625
arm_nvfp4_deq,rollout_reward/_mean,8,0.0625
arm_nvfp4_deq,rollout_reward/_mean,9,0.03125
arm_nvfp4_deq,rollout_reward/_mean,10,0.15625
arm_nvfp4_deq,trainer/entropy/mean,1,0.20423974096775055
arm_nvfp4_deq,trainer/entropy/mean,2,0.33529263734817505
arm_nvfp4_deq,trainer/entropy/mean,3,0.34953615069389343
arm_nvfp4_deq,trainer/entropy/mean,4,0.2590489685535431
arm_nvfp4_deq,trainer/entropy/mean,5,0.28656986355781555
arm_nvfp4_deq,trainer/entropy/mean,6,0.19119149446487427
arm_nvfp4_deq,trainer/entropy/mean,7,0.24837546050548553
arm_nvfp4_deq,trainer/entropy/mean,8,0.2916853725910187
arm_nvfp4_deq,trainer/entropy/mean,9,0.20578843355178833
arm_nvfp4_deq,trainer/entropy/mean,10,0.27126947045326233
arm_nvfp4_deq,bit_wise/logprob_diff/mean,1,-0.002724981401115656
arm_nvfp4_deq,bit_wise/logprob_diff/mean,2,-0.003011999884620309
arm_nvfp4_deq,bit_wise/logprob_diff/mean,3,-0.0033554183319211006
arm_nvfp4_deq,bit_wise/logprob_diff/mean,4,-0.0026709050871431828
arm_nvfp4_deq,bit_wise/logprob_diff/mean,5,-0.0027749757282435894
arm_nvfp4_deq,bit_wise/logprob_diff/mean,6,-0.002631954150274396
arm_nvfp4_deq,bit_wise/logprob_diff/mean,7,-0.002901924541220069
arm_nvfp4_deq,bit_wise/logprob_diff/mean,8,-0.003535301424562931
arm_nvfp4_deq,bit_wise/logprob_diff/mean,9,-0.0015705128898844123
arm_nvfp4_deq,bit_wise/logprob_diff/mean,10,-0.0028312422800809145
arm_nvfp4_deq,loss/ratio_clipped_frac,1,0.018133383244276047
arm_nvfp4_deq,loss/ratio_clipped_frac,2,0.022289222106337547
arm_nvfp4_deq,loss/ratio_clipped_frac,3,0.025003844872117043
arm_nvfp4_deq,loss/ratio_clipped_frac,4,0.01777230203151703
arm_nvfp4_deq,loss/ratio_clipped_frac,5,0.021369772031903267
arm_nvfp4_deq,loss/ratio_clipped_frac,6,0.016193604096770287
arm_nvfp4_deq,loss/ratio_clipped_frac,7,0.02040858380496502
arm_nvfp4_deq,loss/ratio_clipped_frac,8,0.02264828234910965
arm_nvfp4_deq,loss/ratio_clipped_frac,9,0.01619488187134266
arm_nvfp4_deq,loss/ratio_clipped_frac,10,0.019358094781637192
